date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:18	394119/394119	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:00%20GMT	https://hotels.ng/hotels-in-ogun	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-ogun.html	(from https://hotels.ng/)
22:07:19	389188/389188	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:01%20GMT	https://hotels.ng/hotels-in-ondo	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-ondo.html	(from https://hotels.ng/)
22:07:20	415663/415663	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:03%20GMT	https://hotels.ng/hotels-in-osun	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-osun.html	(from https://hotels.ng/)
22:07:22	371925/371925	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:03%20GMT	https://hotels.ng/hotels-in-plateau	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-plateau.html	(from https://hotels.ng/)
22:07:23	366167/366167	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:05%20GMT	https://hotels.ng/hotels-in-sokoto	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-sokoto.html	(from https://hotels.ng/)
22:07:24	298213/298213	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:06%20GMT	https://hotels.ng/hotels-in-taraba	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-taraba.html	(from https://hotels.ng/)
22:07:25	222113/222113	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:08%20GMT	https://hotels.ng/hotels-in-yobe	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-yobe.html	(from https://hotels.ng/)
22:07:26	335936/335936	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:08%20GMT	https://hotels.ng/hotels-in-zamfara	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotels-in-zamfara.html	(from https://hotels.ng/)
22:07:27	64400/64400	---MCZ	200	added ('OK')	text/html	date:Sun,%2015%20Oct%202023%2021:07:09%20GMT	https://hotels.ng/hotel/add	C:/Users/pc/Desktop/hotel%20web/hotels.ng/hotel/add.html	(from https://hotels.ng/)
22:07:30	278882/278882	---M--	200	added ('OK')	image/png	etag:%2262432c25-44162%22	https://static.hotels.ng/v7/img/footer/get-app-image-international.png	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/img/footer/get-app-image-international.png	(from https://hotels.ng/)
22:07:30	3307/3307	---M--	200	added ('OK')	image/png	etag:%2262432c25-ceb%22	https://static.hotels.ng/v7/img/google-play-min.png	C:/Users/pc/Desktop/hotel%20web/static.hotels.ng/v7/img/google-play-min.png	(from https://hotels.ng/)
